[2018-04-03 20:11:35] error-1522779095.ERROR: Aviso , erro! [] []
[2018-04-03 20:11:38] error-1522779098.ERROR: Aviso , erro! [] []
[2018-04-03 20:28:41] error-1522780121.ERROR: Aviso , erro! [] []
[2018-04-03 20:34:55] error-1522780494.ERROR: Aviso , erro! [] []
[2018-04-03 20:35:21] error-1522780521.ERROR: Aviso , erro! [] []
[2018-04-03 20:38:32] error-1522780712.ERROR: Aviso , erro! [] []
[2018-04-03 20:41:18] error-1522780878.ERROR: Aviso , erro! [] []
[2018-04-03 20:41:23] error-1522780883.ERROR: Aviso , erro! [] []
[2018-04-03 20:45:43] error-1522781143.ERROR: Aviso , erro! [] []
[2018-04-03 20:50:38] error-1522781438.ERROR: Aviso , erro! [] []
[2018-04-03 20:59:39] error-1522781979.ERROR: Aviso , erro! [] []
[2018-04-03 21:03:12] error-1522782192.ERROR: Aviso , erro! [] []
[2018-04-03 21:16:49] error-1522783009.ERROR: Aviso , erro! [] []
[2018-04-03 21:23:21] error-1522783401.ERROR: Aviso , erro! [] []
[2018-04-03 21:34:18] error-1522784058.ERROR: Aviso , erro! [] []
[2018-04-03 21:48:15] error-1522784895.ERROR: Aviso , erro! [] []
[2018-04-03 21:58:34] error-1522785514.ERROR: Aviso , erro! [] []
[2018-04-03 22:13:38] error-1522786418.ERROR: Aviso , erro! [] []
[2018-04-03 22:16:56] error-1522786616.ERROR: Aviso , erro! [] []
[2018-04-03 22:17:49] error-1522786669.ERROR: Aviso , erro! [] []
[2018-04-03 22:19:31] error-1522786771.ERROR: Aviso , erro! [] []
[2018-04-03 22:23:03] error-1522786983.ERROR: Aviso , erro! [] []
[2018-04-03 22:27:26] error-1522787246.ERROR: Aviso , erro! [] []
[2018-04-03 22:30:02] error-1522787402.ERROR: Aviso , erro! [] []
[2018-04-03 22:35:09] error-1522787709.ERROR: Aviso , erro! [] []
[2018-04-03 22:41:12] error-1522788072.ERROR: Aviso , erro! [] []
[2018-04-03 22:45:08] error-1522788308.ERROR: Aviso , erro! [] []
[2018-04-03 22:46:00] error-1522788360.ERROR: Aviso , erro! [] []
[2018-04-03 23:02:09] error-1522789329.ERROR: Aviso , erro! [] []
[2018-04-03 23:02:48] error-1522789368.ERROR: Aviso , erro! [] []
[2018-04-03 23:06:26] error-1522789586.ERROR: Aviso , erro! [] []
[2018-04-03 23:06:34] error-1522789594.ERROR: Aviso , erro! [] []
[2018-04-03 23:06:57] error-1522789617.ERROR: Aviso , erro! [] []
[2018-04-03 23:07:06] error-1522789626.ERROR: Aviso , erro! [] []
[2018-04-03 23:07:27] error-1522789647.ERROR: Aviso , erro! [] []
[2018-04-03 23:07:32] error-1522789652.ERROR: Aviso , erro! [] []
[2018-04-03 23:07:45] error-1522789665.ERROR: Aviso , erro! [] []
[2018-04-03 23:08:07] error-1522789687.ERROR: Aviso , erro! [] []
[2018-04-03 23:10:06] error-1522789806.ERROR: Aviso , erro! [] []
[2018-04-03 23:11:13] error-1522789873.ERROR: Aviso , erro! [] []
[2018-04-03 23:25:29] error-1522790729.ERROR: Aviso , erro! [] []
[2018-04-03 23:36:37] error-1522791397.ERROR: Aviso , erro! [] []
[2018-04-03 23:36:39] error-1522791399.ERROR: Aviso , erro! [] []
[2018-04-03 23:37:10] error-1522791430.ERROR: Aviso , erro! [] []
[2018-04-03 23:37:13] error-1522791433.ERROR: Aviso , erro! [] []
[2018-04-03 23:39:40] error-1522791580.ERROR: Aviso , erro! [] []
[2018-04-03 23:39:41] error-1522791581.ERROR: Aviso , erro! [] []
[2018-04-03 23:41:12] error-1522791672.ERROR: Aviso , erro! [] []
[2018-04-03 23:41:33] error-1522791693.ERROR: Aviso , erro! [] []
[2018-04-03 23:42:54] error-1522791774.ERROR: Aviso , erro! [] []
[2018-04-03 23:42:57] error-1522791777.ERROR: Aviso , erro! [] []
[2018-04-03 23:43:15] error-1522791795.ERROR: Aviso , erro! [] []
[2018-04-03 23:44:43] error-1522791883.ERROR: Aviso , erro! [] []
[2018-04-03 23:44:44] error-1522791884.ERROR: Aviso , erro! [] []
[2018-04-03 23:44:57] error-1522791897.ERROR: Aviso , erro! [] []
[2018-04-03 23:45:07] error-1522791907.ERROR: Aviso , erro! [] []
[2018-04-03 23:48:24] error-1522792104.ERROR: Aviso , erro! [] []
[2018-04-03 23:48:26] error-1522792106.ERROR: Aviso , erro! [] []
[2018-04-03 23:48:28] error-1522792108.ERROR: Aviso , erro! [] []
[2018-04-03 23:48:42] error-1522792122.ERROR: Aviso , erro! [] []
[2018-04-03 23:48:48] error-1522792128.ERROR: Aviso , erro! [] []
[2018-04-03 23:50:19] error-1522792219.ERROR: Aviso , erro! [] []
